time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/approx_kl
159744,156,173,144.74,919,526.44,0.7561856508255005,491.6907958984375,0.009121081151533872,-0.5565240308642387,0.00025,0.2,620,201.4567108154297,0.313720703125,0.060925726
160768,157,173,144.74,925,526.44,0.810142457485199,346.0854501724243,0.008939091232605278,-0.5638463217765093,0.00025,0.2,624,70.4708023071289,0.150146484375,0.047881037
161792,158,173,144.74,931,526.44,0.25045204162597656,115.53051948547363,0.014233513153158128,-0.5912124663591385,0.00025,0.2,628,38.94130325317383,0.25830078125,0.013981149
162816,159,173,144.74,936,526.44,0.5257388353347778,79.12889343500137,0.007080789859173819,-0.6571264192461967,0.00025,0.2,632,8.394584655761719,0.188720703125,0.0102357585
163840,160,173,187.22,942,528.71,-0.24517226219177246,48.75128400325775,0.0025595376500859857,-0.7299783490598202,0.00025,0.2,636,12.453622817993164,0.070556640625,0.014960826
164864,161,173,204.91,947,528.23,0.6105955839157104,1677.9041900634766,0.006303136789938435,-0.5574254058301449,0.00025,0.2,640,826.7636108398438,0.088623046875,0.015787734
165888,162,174,213.32,953,550.9,0.7420432567596436,1672.0152740478516,0.001957017870154232,-0.38561086542904377,0.00025,0.2,644,874.4387817382812,0.093994140625,0.005510712
166912,163,174,216.85,958,570.24,0.7488554120063782,1553.2993469238281,0.005737572500947863,-0.44073764607310295,0.00025,0.2,648,718.4515991210938,0.111083984375,0.02412733
167936,164,174,218.61,964,577.34,0.7220147848129272,2162.6151275634766,0.0029249867366161197,-0.42166940309107304,0.00025,0.2,652,999.6815795898438,0.077392578125,0.0068823695
168960,165,174,224.62,970,595.24,0.8027379512786865,1598.6507873535156,-0.0030705776007380337,-0.4091950971633196,0.00025,0.2,656,955.3146362304688,0.0390625,0.004549105
169984,166,174,231.09,975,596.97,0.7380083799362183,1838.6125297546387,0.0015279847430065274,-0.5875908359885216,0.00025,0.2,660,1152.994873046875,0.09130859375,0.012423888
171008,167,174,238.24,981,602.7,0.8697822093963623,1235.226936340332,-0.001670744502916932,-0.4502482805401087,0.00025,0.2,664,475.8617248535156,0.065673828125,0.012983022
172032,168,174,236.49,986,597.08,0.7584284543991089,2486.6449127197266,0.004901947220787406,-0.43222447112202644,0.00025,0.2,668,1077.73486328125,0.09033203125,0.01840174
173056,169,174,237.03,992,582.72,0.8852549195289612,1354.0042533874512,0.004180260104476474,-0.5503061637282372,0.00025,0.2,672,707.0671997070312,0.09326171875,0.011371232
174080,170,174,223.5,997,518.73,0.6657074093818665,2931.9964294433594,0.027741439611418173,-0.1622889214195311,0.00025,0.2,676,1437.864501953125,0.244873046875,0.13040398
