time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
1167396,192.3,184,577,16.165899999999997,104,0.0038877018,0.026123046875,0.20354154706001282,0.4507351126521826,-0.5881318598985672,0.0001,4548,-0.001863797486294061,0.2,0.8461523056030273
1168420,189.91,184,582,15.874499999999998,105,0.0059178,0.046875,0.20469987392425537,0.4892973378300667,-0.5282035637646914,0.0001,4552,-0.004385837237350643,0.2,0.8005178570747375
1169444,190.34,184,588,15.9554,106,0.0073775575,0.055908203125,0.12276622653007507,0.45521586388349533,-0.5975150018930435,0.0001,4556,-0.005464320216560736,0.2,0.8909462690353394
1170468,193.98,184,593,16.1971,107,0.0072653755,0.050537109375,0.11918964982032776,0.39659328013658524,-0.614592470228672,0.0001,4560,-0.0044919903739355505,0.2,0.8507574796676636
1171492,194.55,184,599,16.198800000000002,108,0.010568059,0.07861328125,0.1546972244977951,0.6280779223889112,-0.5913929268717766,0.0001,4564,-0.0009220866195391864,0.2,0.88068687915802
1172516,192.08,184,604,16.4634,109,0.008216414,0.041748046875,0.3819795250892639,1.192293081432581,-0.5431099534034729,0.0001,4568,-0.00545814647921361,0.2,0.7641438841819763
1173540,190.45,184,610,16.410500000000003,110,0.0026126348,0.014892578125,0.3222537934780121,0.6370352637022734,-0.5090346001088619,0.0001,4572,-0.0055687049170956016,0.2,0.8333561420440674
1174564,191.2,184,615,16.3318,111,0.00975674,0.044189453125,0.11237309128046036,0.38058544136583805,-0.5592714548110962,0.0001,4576,-0.0042084707820322365,0.2,0.9081422090530396
1175588,188.56,184,621,16.225,112,0.005563763,0.03173828125,0.327175110578537,0.9318570606410503,-0.5805584006011486,0.0001,4580,-0.003492556803394109,0.2,0.8784985542297363
1176612,195.0,184,626,16.722,113,0.008975225,0.048095703125,0.3814384937286377,0.8939751014113426,-0.4767058175057173,0.0001,4584,-0.0010391519754193723,0.2,0.699763298034668
1177636,198.16,184,632,16.946099999999998,114,0.0044341926,0.040283203125,0.191868394613266,0.41308348812162876,-0.5133314430713654,0.0001,4588,-0.002232832572190091,0.2,0.9010999202728271
1178660,206.39,184,637,17.4256,115,0.0067677675,0.039306640625,0.4021812677383423,0.867417499423027,-0.5126494020223618,0.0001,4592,-0.0013855119759682566,0.2,0.8073595762252808
1179684,207.51,184,643,17.4226,116,0.007134484,0.0673828125,0.16951221227645874,0.3557814918458462,-0.6116354092955589,0.0001,4596,-0.007760263455566019,0.2,0.9077929854393005
1180708,208.52,184,648,17.5369,117,0.0072954595,0.042236328125,0.5626499056816101,1.454423502087593,-0.5499587170779705,0.0001,4600,-0.0013607387081719935,0.2,0.6445349454879761
1181732,211.16,184,654,17.777200000000004,118,0.006051682,0.039306640625,0.3869973123073578,0.8511553555727005,-0.46589529141783714,0.0001,4604,-0.0033605732023715973,0.2,0.7014859914779663
