time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss
990240,158.24,182,509,11.926300000000001,91,0.0001,0.0615234375,3856,-0.8179096169769764,0.005631826,0.5413103103637695,0.2,0.29360467195510864,0.7440104596316814,-0.0008594098035246134
991264,159.4,182,515,12.0352,92,0.0001,0.063232421875,3860,-0.8210421241819859,0.006537715,0.7517462968826294,0.2,0.24514560401439667,0.5892863441258669,-0.0013122173404553905
992288,162.89,182,520,12.318,93,0.0001,0.06689453125,3864,-0.8140824399888515,0.006536876,0.6193675994873047,0.2,0.2493276745080948,0.588114183396101,-0.003339312374009751
993312,160.3,182,526,12.1483,94,0.0001,0.063720703125,3868,-0.8128307349979877,0.004689405,0.703333854675293,0.2,0.28917360305786133,0.702307689934969,0.00025859789457172155
994336,159.39,182,532,12.451099999999997,95,0.0001,0.111083984375,3872,-0.81605414301157,0.013552647,0.6461179852485657,0.2,0.1982046365737915,0.6270243190228939,-0.00560368676087819
995360,158.74,182,537,12.455800000000002,96,0.0001,0.058837890625,3876,-0.8821052759885788,0.0050786566,0.6981574296951294,0.2,0.2657470703125,0.6406061761081219,-0.00416040065465495
996384,158.91,182,543,12.4538,97,0.0001,0.04931640625,3880,-0.8233583457767963,0.0067654145,0.5314866304397583,0.2,0.3592567443847656,0.9191251024603844,4.933157470077276e-06
997408,156.64,182,548,12.269100000000003,98,0.0001,0.03857421875,3884,-0.8397534117102623,0.007004329,0.528606116771698,0.2,0.20092377066612244,0.7017750181257725,-0.0064648379920981824
998432,160.43,182,554,12.4704,99,0.0001,0.029296875,3888,-0.8681935593485832,0.006531761,0.6847555637359619,0.2,0.18761339783668518,0.45883907191455364,-0.00420394420507364
999456,161.06,182,560,12.559199999999997,100,0.0001,0.042236328125,3892,-0.8573779463768005,0.006603076,0.5778099298477173,0.2,0.3404776453971863,0.9889747984707355,0.0004267181793693453
1000480,157.19,182,566,12.4099,101,0.0001,0.02783203125,3896,-0.7902485318481922,0.0046360195,0.6038685441017151,0.2,0.2766988277435303,0.7100844569504261,-0.0032490351441083476
1001504,157.89,182,571,12.628800000000002,102,0.0001,0.0380859375,3900,-0.809382401406765,0.010467896,0.6361614465713501,0.2,0.2999919652938843,0.7173092365264893,-0.0065245277364738286
1002528,160.99,182,577,12.877299999999998,103,0.0001,0.034912109375,3904,-0.8327586129307747,0.0064712535,0.7479078769683838,0.2,0.1841783970594406,0.5910093318670988,-0.004710666340542957
1003552,163.14,182,582,13.089399999999998,104,0.0001,0.07958984375,3908,-0.8195152208209038,0.011011722,0.6441199779510498,0.2,0.3243054747581482,0.7190116941928864,-0.008105415879981592
1004576,162.32,182,588,13.0054,105,0.0001,0.042724609375,3912,-0.8421934060752392,0.0076322337,0.7839562296867371,0.2,0.12205366045236588,0.3741873875260353,-0.0037718655657954514
1005600,159.97,182,594,12.9065,106,0.0001,0.01806640625,3916,-0.8323431275784969,0.004079605,0.5598273277282715,0.2,0.374725878238678,0.9520508907735348,-0.0039179029990918934
