rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,train/loss
135.39,175,9.7799,478,654548,82,0.2,-0.9772984236478806,0.012467217,-0.005014851543819532,0.4783220309764147,0.0595703125,0.6466931700706482,2548,0.0001,0.21783463656902313
133.01,175,9.556399999999998,484,655572,83,0.2,-1.0038866624236107,0.0031008543,-0.0005951288621872663,0.8956305682659149,0.0126953125,0.5092648267745972,2552,0.0001,0.44792041182518005
129.8,175,9.2877,490,656596,84,0.2,-0.9852673038840294,0.011141041,-0.006232190760783851,0.44971891678869724,0.041748046875,0.6549227237701416,2556,0.0001,0.16440336406230927
127.47,175,9.0942,495,657620,85,0.2,-0.9967753440141678,0.002033803,-0.0028754023369401693,0.5099226571619511,0.007080078125,0.6518051624298096,2560,0.0001,0.18027745187282562
127.82,175,9.3142,501,658644,86,0.2,-1.012837179005146,0.0030706006,-0.0004614188219420612,0.874899111688137,0.00341796875,0.4456109404563904,2564,0.0001,0.4254802167415619
125.36,175,9.080900000000002,506,659668,87,0.2,-0.9881560131907463,0.0014486765,-0.0016556968912482262,0.39067109022289515,0.00830078125,0.6939404010772705,2568,0.0001,0.10549862682819366
125.87,175,9.152899999999999,512,660692,88,0.2,-0.9969893284142017,0.0019419044,-0.0023318700259551406,0.7407057471573353,0.00390625,0.4188723564147949,2572,0.0001,0.2719671130180359
126.8,176,9.1409,517,661716,89,0.2,-1.0434484481811523,0.0067965426,-0.00272228114772588,0.6378933228552341,0.023193359375,0.4882655143737793,2576,0.0001,0.2382306605577469
132.42,176,9.4927,523,662740,90,0.2,-1.0780794322490692,0.007028687,-0.0033952548110391945,0.43969747982919216,0.058837890625,0.6453852653503418,2580,0.0001,0.19930967688560486
132.05,176,9.450600000000001,529,663764,91,0.2,-1.0294430814683437,0.014778945,-0.005490933021064848,0.4263927787542343,0.083740234375,0.6504778265953064,2584,0.0001,0.1980038583278656
132.33,176,9.424,534,664788,92,0.2,-1.0425364300608635,0.005223546,-0.00686434205272235,0.5399492010474205,0.09716796875,0.6592790484428406,2588,0.0001,0.2524225115776062
132.92,176,9.435900000000002,540,665812,93,0.2,-1.0271043926477432,0.004090549,-0.002201656883698888,0.6449184566736221,0.01171875,0.6233623027801514,2592,0.0001,0.3217200040817261
129.97,176,9.119000000000002,545,666836,94,0.2,-1.0608055889606476,0.0073395167,-0.00641066103707999,0.3374180272221565,0.025390625,0.7194900512695312,2596,0.0001,0.10479265451431274
129.49,176,9.1461,551,667860,95,0.2,-1.0967835262417793,0.0080343075,-0.003647529025329277,0.7131540067493916,0.034423828125,0.5573024749755859,2600,0.0001,0.24168308079242706
129.65,176,9.203800000000001,556,668884,96,0.2,-1.115215815603733,0.004775256,-0.0014691634278278798,0.7382851019501686,0.0185546875,0.44316673278808594,2604,0.0001,0.3236289322376251
