time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
2221036,146,99,-4.81,471.13,691,0.7618916742503643,0.078369140625,0.0001,8646,0.2,-1.2776572704315186,0.25455039739608765,-0.0008420462545473129,0.005154989,-0.05611824989318848
2222060,146,100,-4.806,498.01,697,0.0038858060725033283,0.01611328125,0.0001,8650,0.2,-1.339278295636177,-0.01927289552986622,-0.0017393598100170493,0.003556483,0.7567976117134094
2223084,146,101,-4.815,477.85,703,0.42891042679548264,0.118408203125,0.0001,8654,0.2,-1.2508890554308891,0.23294028639793396,-0.004200818104436621,0.014935777,0.11499029397964478
2224108,147,102,-4.815,477.85,710,0.30689665861427784,0.0029296875,0.0001,8658,0.2,-1.230608731508255,0.07072772085666656,-0.0035561271506594494,0.004247049,0.37443673610687256
2225132,147,103,-4.813,497.57,717,0.022751744952984154,0.033935546875,0.0001,8662,0.2,-1.3506067618727684,-0.01428972091525793,-0.0036344804684631526,0.009633288,0.6599701046943665
2226156,147,104,-4.813,497.57,723,0.1761532574892044,0.069091796875,0.0001,8666,0.2,-1.4070657044649124,0.0799650326371193,-0.006523056421428919,0.013434183,0.13163024187088013
2227180,147,105,-4.811000000000001,502.16,730,0.006505071316496469,0.023193359375,0.0001,8670,0.2,-1.4016676247119904,-0.008543027564883232,-0.0035700658918358386,0.0066503086,0.8269686698913574
2228204,147,106,-4.809,531.4,736,0.07491148263216019,0.002685546875,0.0001,8674,0.2,-1.4401246830821037,-0.017394080758094788,-0.007255355594679713,0.0039296793,0.7201050519943237
2229228,147,107,-4.813,529.6,743,0.4557771421968937,0.005859375,0.0001,8678,0.2,-1.4548093006014824,0.15489158034324646,-0.0017042506078723818,0.0052053602,0.3653002381324768
2230252,147,108,-4.811,550.41,749,0.13597714621573687,0.01513671875,0.0001,8682,0.2,-1.4385636746883392,0.012728851288557053,-0.00453010416822508,0.0060696504,0.31405729055404663
2231276,147,109,-4.811,538.91,756,0.3025524877011776,0.029052734375,0.0001,8686,0.2,-1.4859652444720268,0.08176064491271973,-0.0031062971684150398,0.0073437407,-0.04881441593170166
2232300,147,110,-4.819,530.0,762,0.394074784591794,0.03466796875,0.0001,8690,0.2,-1.4581725150346756,0.1489623785018921,-0.003659765381598845,0.007300189,0.5382623672485352
2233324,147,111,-4.813999999999999,544.14,769,0.36962683871388435,0.08837890625,0.0001,8694,0.2,-1.4391127154231071,0.17779582738876343,-0.006138358177850023,0.013276518,0.3752972483634949
2234348,147,112,-4.814,525.95,775,0.3354180883616209,0.01123046875,0.0001,8698,0.2,-1.460297331213951,0.13561157882213593,-0.0017959671095013618,0.0023248326,0.5425510406494141
2235372,147,113,-4.818,522.22,782,0.5605718791484833,0.004638671875,0.0001,8702,0.2,-1.4237749204039574,0.2998449206352234,-0.004004858201369643,0.0036290858,0.3740916848182678
2236396,147,114,-4.816,525.87,788,0.22901124507188797,0.004638671875,0.0001,8706,0.2,-1.430966317653656,0.07267949730157852,-0.0038840245688334107,0.0043331115,0.36955690383911133
2237420,148,115,-4.815,527.14,795,0.06032359995879233,0.005859375,0.0001,8710,0.2,-1.4322606399655342,-0.008071118965744972,-0.005436798703158274,0.005896003,0.8556123971939087
2238444,148,116,-4.816,527.72,801,0.16185214510187507,0.165771484375,0.0001,8714,0.2,-1.335166558623314,0.027319585904479027,-0.007564390049083158,0.016204024,0.5252608060836792
2239468,148,117,-4.813,537.78,808,0.038919905317015946,0.182861328125,0.0001,8718,0.2,-1.4158751145005226,-0.008030458353459835,-0.0048415426863357425,0.015827606,0.7737570405006409
2240492,148,118,-4.707,542.71,814,0.17323223315179348,0.014404296875,0.0001,8722,0.2,-1.386957809329033,0.031267471611499786,-0.006080019942601211,0.008740099,0.5972298383712769
2241516,148,119,-4.7090000000000005,547.1,820,0.27590552205219865,0.015869140625,0.0001,8726,0.2,-1.340166874229908,0.054028257727622986,-0.001421420689439401,0.0058426782,-0.35603272914886475
2242540,148,120,-4.707,555.41,827,0.3596557704731822,0.00830078125,0.0001,8730,0.2,-1.358217753469944,0.14660394191741943,-0.0017403522797394544,0.0034264696,0.02532869577407837
2243564,148,121,-4.707,555.41,833,0.4498079754412174,0.054443359375,0.0001,8734,0.2,-1.2623206749558449,0.13530048727989197,-0.0052281750831753016,0.00755073,0.12854993343353271
2244588,148,122,-4.707,555.41,840,0.01166063685377594,0.028564453125,0.0001,8738,0.2,-1.2187990546226501,-0.025213249027729034,-0.006219774120836519,0.008435576,0.7130593061447144
2245612,148,123,-4.710999999999999,555.04,847,0.003073425337788649,0.01806640625,0.0001,8742,0.2,-1.1664496287703514,-0.003860855707898736,-0.002706302038859576,0.012559355,0.44388657808303833
2246636,148,124,-4.712999999999999,553.54,853,0.09991251188330352,0.08154296875,0.0001,8746,0.2,-1.227306641638279,0.02556495927274227,-0.007330442749662325,0.0040711313,0.4362679123878479
2247660,148,125,-4.712999999999999,572.03,860,0.28211054764688015,0.005615234375,0.0001,8750,0.2,-1.1412735134363174,0.10611330717802048,-0.004577836720272899,0.0018753819,0.19810789823532104
2248684,148,126,-4.71,590.4,866,0.20527045521885157,0.0185546875,0.0001,8754,0.2,-1.1163380146026611,0.1189727634191513,-0.0007004339713603258,0.0058409586,0.13471072912216187
2249708,149,127,-4.71,590.4,872,0.2876790314912796,0.02978515625,0.0001,8758,0.2,-1.2456879988312721,0.1524750143289566,-0.008926643786253408,0.007102349,0.30011916160583496
2250732,149,128,-4.710999999999999,609.69,879,0.00889377341081854,0.0517578125,0.0001,8762,0.2,-1.2079273536801338,-0.019669286906719208,-0.003507691726554185,0.011757128,0.9085390567779541
2251756,149,129,-4.712,613.4,885,0.15326208621263504,0.01513671875,0.0001,8766,0.2,-1.1154108718037605,0.049417492002248764,-0.0023235732223838568,0.0049971053,-0.17928338050842285
2252780,149,130,-4.712,613.4,891,0.09793427563272417,0.001953125,0.0001,8770,0.2,-1.102260835468769,-0.00015156902372837067,-0.003259880089899525,0.0028362717,0.4449954628944397
2253804,149,131,-4.712,613.4,898,0.009145052477833815,0.008544921875,0.0001,8774,0.2,-1.1299226582050323,-0.019666042178869247,-0.004836795706069097,0.0016783709,0.794202446937561
